X Y Z
4.366628e+06 -5.236992e+04 5.211300e+06
4.368222e+06 -4.499253e+04 5.210024e+06
4.369811e+06 -3.761507e+04 5.208743e+06
4.371394e+06 -3.023757e+04 5.207454e+06
4.372972e+06 -2.286003e+04 5.206159e+06
4.374544e+06 -1.548247e+04 5.204857e+06
4.376111e+06 -8.104880e+03 5.203549e+06
4.377672e+06 -7.272831e+02 5.202234e+06
4.379227e+06 6.650315e+03 5.200913e+06
4.380777e+06 1.402791e+04 5.199585e+06
4.382321e+06 2.140548e+04 5.198250e+06
4.383860e+06 2.878302e+04 5.196909e+06
4.385393e+06 3.616053e+04 5.195561e+06
4.386921e+06 4.353799e+04 5.194207e+06
4.388443e+06 5.091540e+04 5.192845e+06
4.389959e+06 5.829274e+04 5.191478e+06
4.391470e+06 6.567001e+04 5.190104e+06
4.392975e+06 7.304719e+04 5.188723e+06
4.394475e+06 8.042428e+04 5.187336e+06
4.395969e+06 8.780127e+04 5.185942e+06
4.397457e+06 9.517815e+04 5.184541e+06
4.398940e+06 1.025549e+05 5.183134e+06
4.400418e+06 1.099315e+05 5.181720e+06
4.401889e+06 1.173080e+05 5.180300e+06
4.403355e+06 1.246844e+05 5.178873e+06
4.404816e+06 1.320605e+05 5.177440e+06
4.406271e+06 1.394365e+05 5.176000e+06
4.407720e+06 1.468124e+05 5.174554e+06
4.409164e+06 1.541880e+05 5.173101e+06
4.410602e+06 1.615635e+05 5.171641e+06
4.412034e+06 1.689387e+05 5.170175e+06
4.413461e+06 1.763138e+05 5.168702e+06
4.414883e+06 1.836886e+05 5.167223e+06
4.416298e+06 1.910631e+05 5.165737e+06
4.417708e+06 1.984375e+05 5.164245e+06
4.419113e+06 2.058115e+05 5.162746e+06
4.420511e+06 2.131854e+05 5.161240e+06
4.421905e+06 2.205589e+05 5.159728e+06
4.423292e+06 2.279322e+05 5.158210e+06
4.424674e+06 2.353051e+05 5.156685e+06
4.426050e+06 2.426778e+05 5.155153e+06
4.427421e+06 2.500502e+05 5.153615e+06
4.428786e+06 2.574222e+05 5.152070e+06
4.430145e+06 2.647939e+05 5.150519e+06
4.431499e+06 2.721653e+05 5.148961e+06
